GEOID,Males (1-3),Males (4-8),Males (9-13),Males (14-18),Males (19-30),Males (31-50),Males (51-70),Males (71+),Females (1-3),Females (4-8),Females (9-13),Females (14-18),Females (19-30),Females (31-50),Females (50-70),Females (71+)
250250001001,55,31,17,16,236,247,81,47,38,27,25,18,219,185,94,86
250250001002,24,21,16,11,261,143,83,20,16,14,15,4,173,150,68,25
250250001003,13,3,6,2,189,116,63,17,12,6,11,9,177,92,46,23
250250001004,39,13,14,14,232,148,62,16,33,20,26,10,155,131,54,36
250250002011,27,18,20,9,177,128,69,25,19,24,15,11,146,127,83,37
250250002012,15,7,15,2,217,110,38,15,13,7,6,5,174,86,52,28
250250002013,42,21,14,9,307,164,94,15,44,25,13,7,364,168,83,24
250250002014,6,5,6,2,170,101,44,12,12,9,4,7,188,89,57,23
250250002021,25,23,23,7,347,210,123,46,26,20,17,14,261,168,115,62
250250002022,11,9,8,12,164,147,59,19,10,12,7,5,160,111,61,30
250250002023,27,18,12,3,128,108,58,24,24,15,9,2,115,101,62,42
250250002024,40,44,42,31,90,49,46,9,38,45,39,38,79,146,66,23
250250003011,17,12,15,10,103,117,56,12,5,7,13,8,78,97,60,28
250250003012,16,5,7,3,112,124,73,53,20,8,11,5,109,109,69,66
250250003013,12,15,2,1,156,93,24,18,4,7,3,3,146,64,28,24
250250003014,12,9,12,4,131,92,57,22,9,7,8,3,159,88,77,22
250250003021,24,6,16,25,395,205,86,39,24,10,8,33,352,164,99,61
250250003022,42,18,26,10,269,207,144,56,26,16,18,8,292,191,178,94
250250004011,13,4,3,6,415,204,46,23,17,7,6,4,511,161,52,26
250250004012,12,3,4,8,351,127,64,19,20,8,11,9,313,108,59,22
250250004013,25,21,17,9,254,118,69,36,27,16,16,7,205,84,75,48
250250004014,36,19,12,8,302,119,82,303,25,16,7,8,255,113,144,560
250250004021,40,24,22,12,390,169,74,26,46,21,28,5,374,149,102,43
250250004022,17,11,10,3,285,114,59,21,9,3,9,3,273,85,59,34
250250004023,28,11,10,7,325,149,74,21,15,15,10,7,237,135,58,26
250250005021,5,1,3,1,240,100,46,16,7,0,1,2,277,108,62,14
250250005022,7,2,3,2,175,93,32,12,6,2,0,1,195,92,63,30
250250005023,14,2,3,2,446,193,76,62,16,1,3,1,433,184,79,104
250250005024,0,0,0,0,1348,3,1,0,0,0,0,0,1734,0,0,0
250250005031,10,2,1,1,225,90,27,2,6,3,1,4,261,93,28,8
250250005032,9,4,1,1,366,198,57,34,7,1,2,1,401,221,79,67
250250005041,16,9,5,6,245,145,59,56,15,12,9,4,383,151,67,144
250250005042,10,5,1,2,321,120,48,103,12,4,3,4,404,125,92,165
250250005043,11,4,,2,371,179,52,19,12,4,1,2,478,156,71,16
250250005044,1,0,0,0,215,21,32,75,4,0,0,0,321,30,52,109
250250006011,11,5,10,6,150,83,51,33,9,9,5,3,95,62,82,148
250250006012,18,9,7,24,246,154,89,24,17,7,5,3,253,117,68,36
250250006013,11,4,3,3,175,82,49,17,9,4,4,5,159,60,44,35
250250006014,30,8,11,6,266,177,64,16,32,9,5,3,218,136,70,17
250250006021,21,8,10,7,452,186,67,37,14,7,8,13,339,163,81,44
250250006022,8,7,4,2,298,99,68,47,8,4,2,6,275,100,107,76
250250006023,49,58,49,29,145,140,107,45,42,40,49,31,164,196,154,108
250250007011,7,1,1,0,299,123,20,6,1,0,3,0,276,85,18,5
250250007012,10,7,8,1,236,52,31,2,3,0,3,1,171,38,14,4
250250007013,4,2,2,2,139,68,21,10,6,3,4,0,231,58,32,17
250250007014,13,3,4,4,275,95,56,13,9,2,5,3,281,83,51,25
250250007015,9,3,7,5,449,194,41,15,12,5,2,17,513,163,47,17
250250007031,9,3,0,2,450,120,60,4,8,2,1,1,555,73,19,1
250250007032,9,2,2,3,591,97,34,5,9,2,1,4,611,80,25,8
250250007041,16,6,4,5,644,184,64,15,12,2,4,5,611,128,51,12
250250007042,6,2,0,1,232,99,26,11,4,1,0,0,281,67,32,8
250250007043,14,2,4,4,376,135,37,15,10,3,1,4,387,99,26,18
250250007044,36,19,13,7,246,141,79,15,16,15,16,11,259,134,107,19
250250008021,6,7,0,5,639,70,35,18,7,4,3,3,402,50,40,16
