Food	Production	Transport
Poultry	0.003409138	9.90E-05
"Citrus, melons, berries"	0.001418062	0.000120487
Other Fruits	0.001418062	0.000120487
Meat	0.006777107	9.32E-05
Grains	0.000730714	2.57E-05
Dark Greens	0.001418062	0.000120487
Yoghurt	0.001853531	6.37E-05
Red and Orange	0.001418062	0.000120487
Sugars	0.000710355	2.55E-05
Nuts	0.001418062	0.000120487
Cheese	0.001853531	6.37E-05
Fish and Seafood	0.002473099	0.000118992
Juice	0.002417287	0.000188326
Beverages	0.001647424	9.14E-05
Starchy	0.001491268	0.000120487
Legumes and Soy	0.0006482	2.36E-05
Other Vegetables	0.001491268	0.000120487
Fats and Oils	0.00074465	2.48E-05
Milk	0.002852755	0.000131528
Eggs	0.000986852	2.85E-05
